text,label
"Invoice #INV-2024-001 for consulting services rendered in January. Total amount due: $5,250.00","invoice"
"Invoice #INV-2024-002 for software license subscription. Payment due within 30 days.","invoice"
"This invoice covers the Q1 maintenance fees for your enterprise account.","invoice"
"Invoice attached for the shipment of office supplies ordered on March 15th.","invoice"
"Final invoice for project completion. Balance remaining: $12,500.","invoice"
"Proforma invoice for upcoming service agreement renewal.","invoice"
"Purchase Order PO-78234: Request for 500 units of industrial equipment.","purchase_order"
"PO #2024-0892 for marketing materials. Delivery expected by end of month.","purchase_order"
"Please process the attached purchase order for IT hardware refresh.","purchase_order"
"Purchase order for catering services for the annual company retreat.","purchase_order"
"Urgent PO: Office furniture for new headquarters expansion.","purchase_order"
"Purchase requisition approved and converted to PO #2024-1105.","purchase_order"
"Your monthly bank statement for March 2024 is now available for review.","bank_statement"
"Bank statement summary: 47 transactions processed, ending balance $12,847.33","bank_statement"
"Attached is your quarterly bank statement for accounts ending in 4521.","bank_statement"
"Bank statement notification: unusual activity detected on your business account.","bank_statement"
"Year-end bank statement with interest earned summary attached.","bank_statement"
"Consolidated bank statement for all linked business accounts.","bank_statement"
"Tax Notice: Your estimated quarterly tax payment is due by April 15th.","tax_notice"
"IRS Notice CP2000: Proposed changes to your 2023 tax return.","tax_notice"
"State tax authority notice regarding outstanding balance on your account.","tax_notice"
"Annual property tax assessment notice for fiscal year 2024-2025.","tax_notice"
"Tax filing reminder: Extension deadline approaching for business returns.","tax_notice"
"Notice of tax lien release for previously settled amounts.","tax_notice"
"Service Agreement Contract between ABC Corp and XYZ Consulting LLC.","contract"
"Employment contract for the position of Senior Software Engineer.","contract"
"Non-disclosure agreement for the upcoming product launch collaboration.","contract"
"Lease contract renewal for office space at 123 Business Park Drive.","contract"
"Master services agreement with amended payment terms.","contract"
"Vendor contract for annual maintenance and support services.","contract"
"Thank you for contacting customer support. Your ticket #45892 has been resolved.","other"
"Newsletter: Updates from our financial services team for Q2 2024.","other"
"Reminder: Your account password will expire in 7 days.","other"
"General correspondence regarding your recent inquiry about account features.","other"
"Meeting notes from quarterly business review session.","other"
"Internal memo regarding updated expense reporting procedures.","other"
